Statistical profiling result from isolate-00000000003D7F50-v8.log, (15530 ticks, 908 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      4    0.0%    0.0%  RegExp: this
      4    0.0%    0.0%  RegExp: [\\{\\}]
      4    0.0%    0.0%  RegExp: [0-9\\u0660-\\u0669\\u06F0-\\u06F9\\u07C0-\\u07C9\\u0966-\\u096F\\u09E6-\\u09EF\\u0A66-\\u0A6F\\u0AE6-\\u0AEF\\u0B66-\\u0B6F\\u0BE6-\\u0BEF\\u0C66-\\u0C6F\\u0CE6-\\u0CEF\\u0D66-\\u0D6F\\u0DE6-\\u0DEF\\u0E50-\\u0E59\\u0ED0-\\u0ED9\\u0F20-\\u0F29\\u1040-\\u1049\\u1090-\\u1099\\u17E0-\\u17E9\\u1810-\\u1819\\u1946-\\u194F\\u19D0-\\u19D9\\u1A80-\\u1A89\\u1A90-\\u1A99\\u1B50-\\u1B59\\u1BB0-\\u1BB9\\u1C40-\\u1C49\\u1C50-\\u1C59\\uA620-\\uA629\\uA8D0-\\uA8D9\\uA900-\\uA909\\uA9D0-\\uA9D9\\uA9F0-\\uA9F9\\uAA50-\\uAA59\\uABF0-\\uABF9\\uFF10-\\uFF19]
      4    0.0%    0.0%  LazyCompile: Join native array.js:172:14
      4    0.0%    0.0%  LazyCompile: *<anonymous> C:\code\JS\pegs\lib\compiler\Parser.js:368:9
      4    0.0%    0.0%  Handler: parseInternal {9}
      4    0.0%    0.0%  Handler: parseInternal {51}
      4    0.0%    0.0%  Handler: parseInternal {22}
      4    0.0%    0.0%  Handler: parseInternal {1}
      4    0.0%    0.0%  Handler: parse {3}
      4    0.0%    0.0%  Handler: parse {15}
      3    0.0%    0.0%  Stub: RecordWriteStub {3}
      3    0.0%    0.0%  RegExp: in
      3    0.0%    0.0%  RegExp: function
      3    0.0%    0.0%  RegExp: false
      3    0.0%    0.0%  RegExp: class
      3    0.0%    0.0%  RegExp: \\"|\\\\|[\\n\\r\\u2028\\u2029]
      3    0.0%    0.0%  RegExp: =
      3    0.0%    0.0%  LazyCompile: *join native array.js:347:19
      3    0.0%    0.0%  LazyCompile: *InnerArrayJoin native array.js:334:24
      3    0.0%    0.0%  LazyCompile: *<anonymous> C:\code\JS\pegs\lib\compiler\Parser.js:389:9
      3    0.0%    0.0%  Handler: parseInternal {41}
      3    0.0%    0.0%  Handler: parseInternal {35}
      3    0.0%    0.0%  Handler: parseInternal {32}
      3    0.0%    0.0%  Handler: parseInternal {19}
      3    0.0%    0.0%  Handler: parse {39}
      3    0.0%    0.0%  Handler: parse {19}
      3    0.0%    0.0%  Handler: parse {16}
      2    0.0%    0.0%  Stub: RecordWriteStub {4}
      2    0.0%    0.0%  Stub: RecordWriteStub
      2    0.0%    0.0%  RegExp: typeof
      2    0.0%    0.0%  RegExp: switch
      2    0.0%    0.0%  RegExp: null
      2    0.0%    0.0%  RegExp: continue
      2    0.0%    0.0%  RegExp: case
      2    0.0%    0.0%  RegExp: break
      2    0.0%    0.0%  RegExp: \\u200D
      2    0.0%    0.0%  RegExp: \\$|&|!
      2    0.0%    0.0%  RegExp: \\$
      2    0.0%    0.0%  RegExp: [_\\u203F-\\u2040\\u2054\\uFE33-\\uFE34\\uFE4D-\\uFE4F\\uFF3F]
      2    0.0%    0.0%  LazyCompile: *get global native regexp.js:808:25
      2    0.0%    0.0%  LazyCompile: *StackPush native array.js:114:19
      2    0.0%    0.0%  LazyCompile: *RegExpSubclassExec native regexp.js:207:28
      2    0.0%    0.0%  Handler: parseInternal {4}
      2    0.0%    0.0%  Handler: parseInternal {48}
      2    0.0%    0.0%  Handler: parseInternal {43}
      2    0.0%    0.0%  Handler: parseInternal {26}
      2    0.0%    0.0%  Handler: parseInternal {18}
      2    0.0%    0.0%  Handler: parseInternal {16}
      2    0.0%    0.0%  Handler: parseInternal {13}
      2    0.0%    0.0%  Handler: parseInternal {12}
      2    0.0%    0.0%  Handler: parseInternal
      2    0.0%    0.0%  Handler: parse {9}
      2    0.0%    0.0%  Handler: parse {8}
      2    0.0%    0.0%  Handler: parse {5}
      2    0.0%    0.0%  Handler: parse {37}
      2    0.0%    0.0%  Handler: parse {36}
      2    0.0%    0.0%  Handler: parse {28}
      2    0.0%    0.0%  Handler: parse {23}
      2    0.0%    0.0%  Handler: parse {21}
      2    0.0%    0.0%  Builtin: Construct
      1    0.0%    0.0%  Stub: RecordWriteStub {2}
      1    0.0%    0.0%  Stub: CreateWeakCellStub
      1    0.0%    0.0%  Stub: CompareICStub {6}
      1    0.0%    0.0%  Stub: ArraySingleArgumentConstructorStub
      1    0.0%    0.0%  RegExp: with
      1    0.0%    0.0%  RegExp: while
      1    0.0%    0.0%  RegExp: void
      1    0.0%    0.0%  RegExp: true
      1    0.0%    0.0%  RegExp: throw
      1    0.0%    0.0%  RegExp: return
      1    0.0%    0.0%  RegExp: instanceof
      1    0.0%    0.0%  RegExp: enum
      1    0.0%    0.0%  RegExp: do
      1    0.0%    0.0%  RegExp: debugger
      1    0.0%    0.0%  RegExp: const
      1    0.0%    0.0%  RegExp: \\{
      1    0.0%    0.0%  RegExp: \\u200C
      1    0.0%    0.0%  RegExp: \\[
      1    0.0%    0.0%  RegExp: \\/
      1    0.0%    0.0%  RegExp: \\.
      1    0.0%    0.0%  RegExp: :
      1    0.0%    0.0%  RegExp: &|!
      1    0.0%    0.0%  RegExp: "[\\u0300-\\u036F\\u0483-\\u0487\\u0591-\\u05BD\\u05BF\\u05C1-\\u05C2\\u05C4-\\u05C5\\u05C7\\u0610-\\u061A\\u064B-\\u065F\\u0670\\u06D6-\\u06DC\\u06DF-\\u06E4\\u06E7-\\u06E8\\u06EA-\\u06ED\\u0711\\u0730-\\u074A\\u07A6-\\u07B0\\u07EB-\\u07F3\\u0816-\\u0819\\u081B-\\u0823\\u0825-\\u0827\\u0829-\\u082D\\u0859-\\u085B\\u08E3-\\u0902\\u093A\\u093C\\u0941-\\u0948\\u094D\\u0951-\\u0957\\u0962-\\u0963\\u0981\\u09BC\\u09C1-\\u09C4\\u09CD\\u09E2-\\u09E3\\u0A01-\\u0A02\\u0A3C\\u0A41-\\u0A42\\u0A47-\\u0A48\\u0A4B-\\u0A4D\\u0A51\\u0A70-\\u0A71\\u0A75\\u0A81-\\u0A82\\u0ABC\\u0AC1-\\u0AC5\\u0AC7-\\u0AC8\\u0ACD\\u0AE2-\\u0AE3\\u0B01\\u0B3C\\u0B3F\\u0B41-\\u0B44\\u0B4D\\u0B56\\u0B62-\\u0B63\\u0B82\\u0BC0\\u0BCD\\u0C00\\u0C3E-\\u0C40\\u0C46-\\u0C48\\u0C4A-\\u0C4D\\u0C55-\\u0C56\\u0C62-\\u0C63\\u0C81\\u0CBC\\u0CBF\\u0CC6\\u0CCC-\\u0CCD\\u0CE2-\\u0CE3\\u0D01\\u0D41-\\u0D44\\u0D4D\\u0D62-\\u0D63\\u0DCA\\u0DD2-\\u0DD4\\u0DD6\\u0E31\\u0E34-\\u0E3A\\u0E47-\\u0E4E\\u0EB1\\u0EB4-\\u0EB9\\u0EBB-\\u0EBC\\u0EC8-\\u0ECD\\u0F18-\\u0F19\\u0F35\\u0F37\\u0F39\\u0F71-\\u0F7E\\u0F80-\\u0F84\\u0F86-\\u0F87\\u0F8D-\\u0F97\\u0F99-\\u0FBC\\u0FC6\\u102D-\\u1030\\u1032-\\u1037\\u1039-\\u103A\\u103D-\\u103E\\u1058-\\u1059\\u105E-\\u1060\\u1071-\\u1074\\u1082\\u1085-\\u1086\\u108D\\u109D\\u135D-\\u135F\\u1712-\\u1714\\u1732-\\u1734\\u1752-\\u1753\\u1772-\\u1773\\u17B4-\\u17B5\\u17B7-\\u17BD\\u17C6\\u17C9-\\u17D3\\u17DD\\u180B-\\u180D\\u18A9\\u1920-\\u1922\\u1927-\\u1928\\u1932\\u1939-\\u193B\\u1A17-\\u1A18\\u1A1B\\u1A56\\u1A58-\\u1A5E\\u1A60\\u1A62\\u1A65-\\u1A6C\\u1A73-\\u1A7C\\u1A7F\\u1AB0-\\u1ABD\\u1B00-\\u1B03\\u1B34\\u1B36-\\u1B3A\\u1B3C\\u1B42\\u1B6B-\\u1B73\\u1B80-\\u1B81\\u1BA2-\\u1BA5\\u1BA8-\\u1BA9\\u1BAB-\\u1BAD\\u1BE6\\u1BE8-\\u1BE9\\u1BED\\u1BEF-\\u1BF1\\u1C2C-\\u1C33\\u1C36-\\u1C37\\u1CD0-\\u1CD2\\u1CD4-\\u1CE0\\u1CE2-\\u1CE8\\u1CED\\u1CF4\\u1CF8-\\u1CF9\\u1DC0-\\u1DF5\\u1DFC-\\u1DFF\\u20D0-\\u20DC\\u20E1\\u20E5-\\u20F0\\u2CEF-\\u2CF1\\u2D7F\\u2DE0-\\u2DFF\\u302A-\\u302D\\u3099-\\u309A\\uA66F\\uA674-\\
      1    0.0%    0.0%  LazyCompile: ~location C:\code\JS\pegs\lib\compiler\Parser.js:140:16
      1    0.0%    0.0%  LazyCompile: ~StringValue.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:295:52
      1    0.0%    0.0%  LazyCompile: ~Rule.passed C:\code\JS\pegs\lib\runtime\Rule.js:21:28
      1    0.0%    0.0%  LazyCompile: ~Repeat.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:205:47
      1    0.0%    0.0%  LazyCompile: ~Reference.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:116:50
      1    0.0%    0.0%  LazyCompile: ~DoJoin native array.js:129:16
