Statistical profiling result from isolate-00000000004A2560-v8.log, (29583 ticks, 2453 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      4    0.0%    0.0%  Handler: parse {29}
      4    0.0%    0.0%  Handler: parse {13}
      4    0.0%    0.0%  Function: ~<anonymous> native harmony-regexp-exec.js:2:10
      3    0.0%    0.0%  RegExp: void
      3    0.0%    0.0%  RegExp: try
      3    0.0%    0.0%  RegExp: switch
      3    0.0%    0.0%  RegExp: return
      3    0.0%    0.0%  RegExp: default
      3    0.0%    0.0%  RegExp: \\.
      3    0.0%    0.0%  RegExp: [0-9\\u0660-\\u0669\\u06F0-\\u06F9\\u07C0-\\u07C9\\u0966-\\u096F\\u09E6-\\u09EF\\u0A66-\\u0A6F\\u0AE6-\\u0AEF\\u0B66-\\u0B6F\\u0BE6-\\u0BEF\\u0C66-\\u0C6F\\u0CE6-\\u0CEF\\u0D66-\\u0D6F\\u0DE6-\\u0DEF\\u0E50-\\u0E59\\u0ED0-\\u0ED9\\u0F20-\\u0F29\\u1040-\\u1049\\u1090-\\u1099\\u17E0-\\u17E9\\u1810-\\u1819\\u1946-\\u194F\\u19D0-\\u19D9\\u1A80-\\u1A89\\u1A90-\\u1A99\\u1B50-\\u1B59\\u1BB0-\\u1BB9\\u1C40-\\u1C49\\u1C50-\\u1C59\\uA620-\\uA629\\uA8D0-\\uA8D9\\uA900-\\uA909\\uA9D0-\\uA9D9\\uA9F0-\\uA9F9\\uAA50-\\uAA59\\uABF0-\\uABF9\\uFF10-\\uFF19]
      3    0.0%    0.0%  LazyCompile: *parseInt native v8natives.js:36:24
      3    0.0%    0.0%  Handler: parseInternal {51}
      3    0.0%    0.0%  Handler: parseInternal {44}
      3    0.0%    0.0%  Handler: parseInternal {40}
      3    0.0%    0.0%  Handler: parseInternal {26}
      3    0.0%    0.0%  Handler: parseInternal {24}
      3    0.0%    0.0%  Handler: parseInternal {22}
      3    0.0%    0.0%  Handler: parseInternal {12}
      3    0.0%    0.0%  Handler: parse {6}
      3    0.0%    0.0%  Handler: parse {37}
      3    0.0%    0.0%  Handler: parse {34}
      3    0.0%    0.0%  Handler: parse {21}
      2    0.0%    0.0%  Stub: RecordWriteStub {2}
      2    0.0%    0.0%  Stub: RecordWriteStub {1}
      2    0.0%    0.0%  Stub: LoadIndexedStringStub
      2    0.0%    0.0%  Stub: ArraySingleArgumentConstructorStub
      2    0.0%    0.0%  RegExp: with
      2    0.0%    0.0%  RegExp: typeof
      2    0.0%    0.0%  RegExp: in
      2    0.0%    0.0%  RegExp: for
      2    0.0%    0.0%  RegExp: extends
      2    0.0%    0.0%  RegExp: enum
      2    0.0%    0.0%  RegExp: do
      2    0.0%    0.0%  RegExp: delete
      2    0.0%    0.0%  RegExp: class
      2    0.0%    0.0%  RegExp: catch
      2    0.0%    0.0%  RegExp: \\}
      2    0.0%    0.0%  RegExp: \\{
      2    0.0%    0.0%  RegExp: \\u200D
      2    0.0%    0.0%  LazyCompile: ~parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:156:18
      2    0.0%    0.0%  LazyCompile: ~location C:\code\JS\pegs\lib\compiler\Parser.js:140:16
      2    0.0%    0.0%  LazyCompile: *join native array.js:347:19
      2    0.0%    0.0%  LazyCompile: *get global native regexp.js:808:25
      2    0.0%    0.0%  LazyCompile: *<anonymous> C:\code\JS\pegs\lib\compiler\Parser.js:81:9
      2    0.0%    0.0%  Handler: parseInternal {5}
      2    0.0%    0.0%  Handler: parseInternal {52}
      2    0.0%    0.0%  Handler: parseInternal {38}
      2    0.0%    0.0%  Handler: parseInternal {29}
      2    0.0%    0.0%  Handler: parseInternal {10}
      2    0.0%    0.0%  Handler: parseInternal
      2    0.0%    0.0%  Handler: parse {7}
      2    0.0%    0.0%  Handler: parse {54}
      2    0.0%    0.0%  Handler: parse {52}
      2    0.0%    0.0%  Handler: parse {51}
      2    0.0%    0.0%  Handler: parse {4}
      2    0.0%    0.0%  Handler: parse {48}
      2    0.0%    0.0%  Handler: parse {35}
      2    0.0%    0.0%  Handler: parse {30}
      2    0.0%    0.0%  Handler: parse {23}
      2    0.0%    0.0%  Handler: parse {17}
      2    0.0%    0.0%  Handler: parse {15}
      2    0.0%    0.0%  Handler: parse {12}
      2    0.0%    0.0%  Builtin: InterruptCheck
      1    0.0%    0.0%  Stub: ToIntegerStub
      1    0.0%    0.0%  Stub: StringAddStub_CheckNone_NotTenured
      1    0.0%    0.0%  Stub: RecordWriteStub {5}
      1    0.0%    0.0%  Stub: RecordWriteStub {4}
      1    0.0%    0.0%  Stub: RecordWriteStub {3}
      1    0.0%    0.0%  Stub: InternalArraySingleArgumentConstructorStub
      1    0.0%    0.0%  Stub: InternalArrayConstructorStub
      1    0.0%    0.0%  Stub: FastNewClosureStub
      1    0.0%    0.0%  Stub: CompareICStub {8}
      1    0.0%    0.0%  Stub: CompareICStub {2}
      1    0.0%    0.0%  Stub: CallConstructStub
      1    0.0%    0.0%  RegExp: while
      1    0.0%    0.0%  RegExp: true
      1    0.0%    0.0%  RegExp: null
      1    0.0%    0.0%  RegExp: new
      1    0.0%    0.0%  RegExp: instanceof
      1    0.0%    0.0%  RegExp: i
      1    0.0%    0.0%  RegExp: false
      1    0.0%    0.0%  RegExp: export
      1    0.0%    0.0%  RegExp: continue
      1    0.0%    0.0%  RegExp: \\)
      1    0.0%    0.0%  RegExp: \\(
      1    0.0%    0.0%  RegExp: :
      1    0.0%    0.0%  RegExp: &|!
      1    0.0%    0.0%  LazyCompile: ~text C:\code\JS\pegs\lib\compiler\Parser.js:329:12
      1    0.0%    0.0%  LazyCompile: ~parts.parts.filter.part C:\code\JS\pegs\lib\compiler\Parser.js:360:29
      1    0.0%    0.0%  LazyCompile: ~location C:\code\JS\pegs\lib\compiler\Parser.js:352:16
      1    0.0%    0.0%  LazyCompile: ~location C:\code\JS\pegs\lib\compiler\Parser.js:301:16
      1    0.0%    0.0%  LazyCompile: ~location C:\code\JS\pegs\lib\compiler\Parser.js:107:16
      1    0.0%    0.0%  LazyCompile: ~exec native regexp.js:116:30
      1    0.0%    0.0%  LazyCompile: ~UseSparseVariant native array.js:95:26
      1    0.0%    0.0%  LazyCompile: ~Module._findPath module.js:151:28
      1    0.0%    0.0%  LazyCompile: ~DoJoin native array.js:129:16
      1    0.0%    0.0%  LazyCompile: ~<anonymous> C:\code\JS\pegs\lib\compiler\Parser.js:170:9
      1    0.0%    0.0%  LazyCompile: *map native array.js:994:18
      1    0.0%    0.0%  LazyCompile: *defineProperty native v8natives.js:573:30
      1    0.0%    0.0%  LazyCompile: *StackPush native array.js:114:19
      1    0.0%    0.0%  LazyCompile: *StackHas native array.js:120:18
      1    0.0%    0.0%  LazyCompile: *ArraySpeciesCreate native array.js:39:28
      1    0.0%    0.0%  LazyCompile: *<anonymous> C:\code\JS\pegs\lib\compiler\Parser.js:368:9
      1    0.0%    0.0%  LazyCompile: *<anonymous> C:\code\JS\pegs\lib\compiler\Parser.js:300:9
      1    0.0%    0.0%  LazyCompile: *<anonymous> C:\code\JS\pegs\lib\compiler\Parser.js:265:9
      1    0.0%    0.0%  LazyCompile: *<anonymous> C:\code\JS\pegs\lib\compiler\Parser.js:217:9
      1    0.0%    0.0%  LazyCompile: *<anonymous> C:\code\JS\pegs\lib\compiler\Parser.js:170:9
      1    0.0%    0.0%  Handler: parseInternal {9}
      1    0.0%    0.0%  Handler: parseInternal {8}
      1    0.0%    0.0%  Handler: parseInternal {56}
      1    0.0%    0.0%  Handler: parseInternal {55}
      1    0.0%    0.0%  Handler: parseInternal {54}
      1    0.0%    0.0%  Handler: parseInternal {53}
      1    0.0%    0.0%  Handler: parseInternal {4}
      1    0.0%    0.0%  Handler: parseInternal {43}
      1    0.0%    0.0%  Handler: parseInternal {42}
      1    0.0%    0.0%  Handler: parseInternal {37}
      1    0.0%    0.0%  Handler: parseInternal {36}
      1    0.0%    0.0%  Handler: parseInternal {32}
      1    0.0%    0.0%  Handler: parseInternal {31}
      1    0.0%    0.0%  Handler: parseInternal {30}
      1    0.0%    0.0%  Handler: parseInternal {2}
      1    0.0%    0.0%  Handler: parseInternal {23}
      1    0.0%    0.0%  Handler: parseInternal {21}
      1    0.0%    0.0%  Handler: parseInternal {16}
      1    0.0%    0.0%  Handler: parseInternal {11}
      1    0.0%    0.0%  Handler: parse {9}
      1    0.0%    0.0%  Handler: parse {8}
      1    0.0%    0.0%  Handler: parse {57}
      1    0.0%    0.0%  Handler: parse {56}
      1    0.0%    0.0%  Handler: parse {55}
      1    0.0%    0.0%  Handler: parse {49}
      1    0.0%    0.0%  Handler: parse {44}
      1    0.0%    0.0%  Handler: parse {43}
      1    0.0%    0.0%  Handler: parse {42}
      1    0.0%    0.0%  Handler: parse {33}
      1    0.0%    0.0%  Handler: parse {31}
      1    0.0%    0.0%  Handler: parse {25}
      1    0.0%    0.0%  Handler: parse {22}
      1    0.0%    0.0%  Handler: parse {10}
      1    0.0%    0.0%  Handler: charCodeAt
      1    0.0%    0.0%  Function: ~<anonymous> C:\code\JS\pegs\lib\tests\ParserProfile.js:1:11

 [C++]:
   ticks  total  nonlib   name

 [Summary]:
   ticks  total  nonlib   name
  24957   84.4%   91.1%  JavaScript
      0    0.0%    0.0%  C++
    401    1.4%    1.5%  GC
   2173    7.3%          Shared libraries
   2453    8.3%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 2.0% are not shown.

   ticks parent  name
   3773   12.8%  LazyCompile: parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:117:18
   2436   64.6%    LazyCompile: *parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:284:18
   2436  100.0%      LazyCompile: *parse C:\code\JS\pegs\lib\runtime\Rule.js:10:10
   1666   68.4%        LazyCompile: parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:139:18
   1666  100.0%          LazyCompile: *parse C:\code\JS\pegs\lib\runtime\Rule.js:10:10
   1664   99.9%            LazyCompile: *parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:93:18
    770   31.6%        LazyCompile: *parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:93:18
    770  100.0%          LazyCompile: *parse C:\code\JS\pegs\lib\runtime\Rule.js:10:10
    663   86.1%            LazyCompile: parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:139:18
    102   13.2%            LazyCompile: parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:117:18
    963   25.5%    LazyCompile: *parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:268:18
    477   49.5%      LazyCompile: *parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:234:18
    477  100.0%        LazyCompile: *parse C:\code\JS\pegs\lib\runtime\Rule.js:10:10
