This performance isn't much better than before. It's with regular expressions running in place of standard terminal checks outside of debug mode.

Statistical profiling result from isolate-00000000004B26A0-v8.log, (30922 ticks, 2235 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      6    0.0%    0.0%  RegExp: \u0220
      6    0.0%    0.0%  RegExp: \u020a
      6    0.0%    0.0%  RegExp: \u0202
      6    0.0%    0.0%  RegExp: \u01fc
      6    0.0%    0.0%  RegExp: \u01ee
      6    0.0%    0.0%  RegExp: \u01e6
      6    0.0%    0.0%  RegExp: \u01db
      6    0.0%    0.0%  RegExp: \u01d3
      6    0.0%    0.0%  RegExp: \u01a4
      6    0.0%    0.0%  RegExp: \u0184
      6    0.0%    0.0%  RegExp: \u017d
      6    0.0%    0.0%  RegExp: \u016e
      6    0.0%    0.0%  RegExp: \u016c
      6    0.0%    0.0%  RegExp: \u014a
      6    0.0%    0.0%  RegExp: \u0136
      6    0.0%    0.0%  RegExp: \u011e
      6    0.0%    0.0%  RegExp: \u011c
      6    0.0%    0.0%  RegExp: \u0104
      6    0.0%    0.0%  RegExp: \u0100
      6    0.0%    0.0%  LazyCompile: *substring native string.js:298:25
      6    0.0%    0.0%  Handler: parse {9}
      6    0.0%    0.0%  Handler: parse {8}
      5    0.0%    0.0%  RegExp: \ua7a6
      5    0.0%    0.0%  RegExp: \ua79a
      5    0.0%    0.0%  RegExp: \ua788
      5    0.0%    0.0%  RegExp: \ua784
      5    0.0%    0.0%  RegExp: \ua762
      5    0.0%    0.0%  RegExp: \ua75c
      5    0.0%    0.0%  RegExp: \ua754
      5    0.0%    0.0%  RegExp: \ua744
      5    0.0%    0.0%  RegExp: \ua742
      5    0.0%    0.0%  RegExp: \ua740
      5    0.0%    0.0%  RegExp: \ua69a
      5    0.0%    0.0%  RegExp: \ua692
      5    0.0%    0.0%  RegExp: \ua685
      5    0.0%    0.0%  RegExp: \ua668
      5    0.0%    0.0%  RegExp: \ua666
      5    0.0%    0.0%  RegExp: \ua654
      5    0.0%    0.0%  RegExp: \ua648
      5    0.0%    0.0%  RegExp: \ua646
      5    0.0%    0.0%  RegExp: \u2ced
      5    0.0%    0.0%  RegExp: \u2cec
      5    0.0%    0.0%  RegExp: \u2cd0
      5    0.0%    0.0%  RegExp: \u2cca
      5    0.0%    0.0%  RegExp: \u2cc0
      5    0.0%    0.0%  RegExp: \u2cba
      5    0.0%    0.0%  RegExp: \u2cb4
      5    0.0%    0.0%  RegExp: \u2c9e
      5    0.0%    0.0%  RegExp: \u2c9b
      5    0.0%    0.0%  RegExp: \u2c94
      5    0.0%    0.0%  RegExp: \u2c88
      5    0.0%    0.0%  RegExp: \u2102
      5    0.0%    0.0%  RegExp: \u1efe
      5    0.0%    0.0%  RegExp: \u1ef7
      5    0.0%    0.0%  RegExp: \u1ef0
      5    0.0%    0.0%  RegExp: \u1ee0
      5    0.0%    0.0%  RegExp: \u1edf
      5    0.0%    0.0%  RegExp: \u1eca
      5    0.0%    0.0%  RegExp: \u1eac
